unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Lawsonibacter celer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Salinibacterium sedimenticola;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Flavobacterium sp. N1736;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N1846;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N1994;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N2038;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N2270;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N3904;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N502536;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. N502540;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Paeniglutamicibacter sp. ZC-3;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pararhizobium sp. YC-54;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Paenibacillus sp. BT-177;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Micropruina sp. KQZ13P-5;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Jiella sp. HL-NP1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pseudomonas sp. MWU13-3659;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Gaoshiqia sediminis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Sphingomonas kaistensis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Acidovorax sp. D2M1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Janthinobacterium sp. hw3;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Paucibacter sp. hw1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Paucibacter sp. hw8;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium frigoritolerans;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Flavobacterium shii;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Hymenobacter sp. YIM 151500-1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Rhodococcus antarcticus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Flavobacterium lacisediminis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Luteolibacter rhizosphaerae;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Novosphingobium sp. JCM 18896;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Nonomuraea sp. MCN248;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pedococcus sp. 5OH_020;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Glutamicibacter sp. MNS18;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Sphingomonas sp. BT-65;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pseudomonas sp. KU26590;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Sphingomonas sp. S6-11;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Stenotrophomonas sp. PS02289;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Stenotrophomonas sp. PS02297;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pseudomonas sp. PS01297;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Limobrevibacterium gyesilva;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Microbacterium sp. SSM24;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Arthrobacter sp. ATA002;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Sphingomonas sp. CBMAI 2297;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
